"model_bad_id","model_good_id","model_bad_name","model_bad_step","model_good_name","model_good_step","reward_bad","reward_good"
"0","0","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","81.441","38.559"
"0","1","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_h=32_more_samples__1__1686135602","25600000","75.969","44.031000000000006"
"0","2","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_h=32_more_samples__1__1686135602","38400000","77.138","42.861999999999995"
"0","3","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_h=32_more_samples__1__1686135602","51200000","74.128","45.872"
"0","4","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_h=32_more_samples__1__1686135602","64000000","74.878","45.122"
"0","5","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_h=32__1__1686135602","12800000","81.982","38.018"
"0","6","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_h=32__1__1686135602","25600000","78.32","41.68000000000001"
"0","7","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_h=32__1__1686135602","38400000","76.886","43.114000000000004"
"0","8","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_h=32__1__1686135602","51200000","74.703","45.297"
"0","9","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_h=32__1__1686135602","64000000","72.482","47.518"
"0","10","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_h=32__1__1686135602","76800000","72.944","47.056"
"0","11","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_h=32__1__1686135602","80000000","73.297","46.703"
"0","12","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_h=64__1__1686135601","12800000","82.916","37.084"
"0","13","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_h=64__1__1686135601","25600000","80.435","39.565"
"0","14","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_h=64__1__1686135601","38400000","77.924","42.07599999999999"
"0","15","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_h=64__1__1686135601","51200000","73.55","46.45"
"0","16","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_h=64__1__1686135601","64000000","75.805","44.19499999999999"
"0","17","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_h=64__1__1686135601","76800000","75.103","44.897000000000006"
"0","18","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_h=64__1__1686135601","80000000","75.17","44.83"
"0","19","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_h=64_more_samples__1__1686135602","12800000","81.252","38.748000000000005"
"0","20","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_h=64_more_samples__1__1686135602","25600000","79.054","40.946"
"0","21","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_h=64_more_samples__1__1686135602","38400000","78.109","41.891000000000005"
"0","22","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_h=64_more_samples__1__1686135602","51200000","77.169","42.831"
"0","23","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=128_rnn=128__1__1685970630","12800000","83.288","36.712"
"0","24","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=128_rnn=128__1__1685970630","25600000","81.543","38.456999999999994"
"0","25","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=128_rnn=128__1__1685970630","38400000","81.091","38.909000000000006"
"0","26","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=128_rnn=128__1__1685970630","51200000","77.224","42.775999999999996"
"0","27","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=128_rnn=64__1__1685970621","12800000","86.943","33.057"
"0","28","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=128_rnn=64__1__1685970621","25600000","82.165","37.834999999999994"
"0","29","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=128_rnn=64__1__1685970621","38400000","80.014","39.986000000000004"
"0","30","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=128_rnn=64__1__1685970621","51200000","79.776","40.224000000000004"
"0","31","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=128_rnn=64__1__1685970621","64000000","76.669","43.331"
"0","32","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=128_rnn=64__1__1685970621","76800000","77.137","42.863"
"0","33","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=128_rnn=64__1__1685970621","80000000","77.376","42.623999999999995"
"0","34","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=64_rnn=128__1__1685970607","12800000","86.958","33.042"
"0","35","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=64_rnn=128__1__1685970607","25600000","79.798","40.202"
"0","36","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=64_rnn=128__1__1685970607","38400000","77.334","42.666"
"0","37","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=64_rnn=128__1__1685970607","51200000","77.199","42.801"
"0","38","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=64_rnn=128__1__1685970607","64000000","74.526","45.474000000000004"
"0","39","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=64_rnn=128__1__1685970607","76800000","75.824","44.176"
"0","40","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=64_rnn=128__1__1685970607","80000000","76.028","43.971999999999994"
"0","41","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=64_rnn=64__1__1685970597","12800000","84.504","35.495999999999995"
"0","42","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=64_rnn=64__1__1685970597","25600000","81.462","38.538"
"0","43","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=64_rnn=64__1__1685970597","38400000","78.777","41.223"
"0","44","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=64_rnn=64__1__1685970597","51200000","76.445","43.55500000000001"
"0","45","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=64_rnn=64__1__1685970597","64000000","76.249","43.751000000000005"
"0","46","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=64_rnn=64__1__1685970597","76800000","76.503","43.497"
"0","47","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=64_rnn=64__1__1685970597","80000000","75.157","44.843"
"0","48","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=32_rnn=128__1__1685970585","12800000","88.558","31.441999999999993"
"0","49","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=32_rnn=128__1__1685970585","25600000","83.33","36.67"
"0","50","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=32_rnn=128__1__1685970585","38400000","81.144","38.855999999999995"
"0","51","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=32_rnn=128__1__1685970585","51200000","79.449","40.551"
"0","52","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=32_rnn=128__1__1685970585","64000000","77.932","42.068"
"0","53","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=32_rnn=128__1__1685970585","76800000","77.939","42.06100000000001"
"0","54","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=32_rnn=128__1__1685970585","80000000","77.932","42.068"
"0","55","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=32_rnn=64__1__1685970564","12800000","85.674","34.32599999999999"
"0","56","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=32_rnn=64__1__1685970564","25600000","83.242","36.757999999999996"
"0","57","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=32_rnn=64__1__1685970564","38400000","77.509","42.491"
"0","58","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=32_rnn=64__1__1685970564","51200000","77.584","42.416"
"0","59","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=32_rnn=64__1__1685970564","64000000","75.703","44.297"
"0","60","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=32_rnn=64__1__1685970564","76800000","76.632","43.367999999999995"
"0","61","P2_PPO_universal_h=32_more_samples__1__1686135602","12800000","P2_PPO_universal_RNN_h=32_rnn=64__1__1685970564","80000000","76.41","43.59"
