,name,id,arch,comm,hidden_dim,rnn_out_size,step,last,file_name
0,RNN h=128 m=128 P2,1onnesoo,rnn,nocom,128,128,64000128,False,1onnesoo_64000128.pt
0,RNN h=128 m=128 P2,1onnesoo,rnn,nocom,128,128,76800128,False,1onnesoo_76800128.pt
0,RNN h=128 m=128 P2,1onnesoo,rnn,nocom,128,128,80000128,True,1onnesoo_80000128.pt
0,NN h=32 sample_batch=False P2,1c5vnfvv,nn,nocom,32,0,12800000,False,1c5vnfvv_12800000.pt
0,NN h=32 sample_batch=False P2,1c5vnfvv,nn,nocom,32,0,25600000,False,1c5vnfvv_25600000.pt
0,NN h=32 sample_batch=False P2,1c5vnfvv,nn,nocom,32,0,38400000,False,1c5vnfvv_38400000.pt
0,NN h=32 sample_batch=False P2,1c5vnfvv,nn,nocom,32,0,51200000,False,1c5vnfvv_51200000.pt
0,NN h=32 sample_batch=False P2,1c5vnfvv,nn,nocom,32,0,64000000,False,1c5vnfvv_64000000.pt
0,NN h=32 sample_batch=False P2,1c5vnfvv,nn,nocom,32,0,76800000,False,1c5vnfvv_76800000.pt
0,NN h=32 sample_batch=False P2,1c5vnfvv,nn,nocom,32,0,80000000,True,1c5vnfvv_80000000.pt
0,NN h=32 sample_batch=True P2,39c93ot5,nn,nocom,32,0,12800000,False,39c93ot5_12800000.pt
0,NN h=32 sample_batch=True P2,39c93ot5,nn,nocom,32,0,25600000,False,39c93ot5_25600000.pt
0,NN h=32 sample_batch=True P2,39c93ot5,nn,nocom,32,0,38400000,False,39c93ot5_38400000.pt
0,NN h=32 sample_batch=True P2,39c93ot5,nn,nocom,32,0,51200000,False,39c93ot5_51200000.pt
0,NN h=32 sample_batch=True P2,39c93ot5,nn,nocom,32,0,64000000,False,39c93ot5_64000000.pt
0,NN h=32 sample_batch=True P2,39c93ot5,nn,nocom,32,0,76800000,False,39c93ot5_76800000.pt
0,NN h=32 sample_batch=True P2,39c93ot5,nn,nocom,32,0,80000000,True,39c93ot5_80000000.pt
0,NN h=64 sample_batch=True P2,abqxm6sg,nn,nocom,64,0,12800000,False,abqxm6sg_12800000.pt
0,NN h=64 sample_batch=True P2,abqxm6sg,nn,nocom,64,0,25600000,False,abqxm6sg_25600000.pt
0,NN h=64 sample_batch=True P2,abqxm6sg,nn,nocom,64,0,38400000,False,abqxm6sg_38400000.pt
0,NN h=64 sample_batch=True P2,abqxm6sg,nn,nocom,64,0,51200000,False,abqxm6sg_51200000.pt
0,NN h=64 sample_batch=True P2,abqxm6sg,nn,nocom,64,0,64000000,False,abqxm6sg_64000000.pt
0,NN h=64 sample_batch=True P2,abqxm6sg,nn,nocom,64,0,76800000,False,abqxm6sg_76800000.pt
0,NN h=64 sample_batch=True P2,abqxm6sg,nn,nocom,64,0,80000000,True,abqxm6sg_80000000.pt
0,NN h=64 sample_batch=False P2,sblqw32u,nn,nocom,64,0,12800000,False,sblqw32u_12800000.pt
0,NN h=64 sample_batch=False P2,sblqw32u,nn,nocom,64,0,25600000,False,sblqw32u_25600000.pt
