test/reward_model_bad_vs_random_mean,test/reward_model_good_vs_random_mean,step,arch
77.48799896240234,42.36899948120117,0,rnn
76.51799774169922,42.16899871826172,16000,rnn
74.16500091552734,40.89899826049805,32000,rnn
71.84100341796875,39.78799819946289,48000,rnn
72.07599639892578,40.04600143432617,64000,rnn
70.61000061035156,40.52399826049805,80000,rnn
70.33999633789062,39.28300094604492,96000,rnn
72.50499725341797,38.49300003051758,112000,rnn
73.01899719238281,39.98400115966797,128000,rnn
75.4489974975586,39.42499923706055,144000,rnn
74.25599670410156,39.810001373291016,160000,rnn
75.572998046875,40.3380012512207,176000,rnn
73.84100341796875,37.79600143432617,192000,rnn
75.5469970703125,39.07699966430664,208000,rnn
74.03199768066406,38.12900161743164,224000,rnn
76.19000244140625,38.946998596191406,240000,rnn
74.62699890136719,37.94499969482422,256000,rnn
75.93699645996094,37.858001708984375,272000,rnn
75.34100341796875,38.391998291015625,288000,rnn
75.6760025024414,39.560001373291016,304000,rnn
75.95999908447266,40.02199935913086,320000,rnn
75.1259994506836,39.141998291015625,336000,rnn
77.96199798583984,39.922000885009766,352000,rnn
77.69499969482422,40.500999450683594,368000,rnn
77.2509994506836,40.61399841308594,384000,rnn
77.4469985961914,41.04600143432617,400000,rnn
76.95700073242188,39.66600036621094,416000,rnn
77.37100219726562,40.56800079345703,432000,rnn
77.43299865722656,39.29499816894531,448000,rnn
76.51200103759766,40.534000396728516,464000,rnn
78.21600341796875,41.082000732421875,480000,rnn
78.97000122070312,40.52199935913086,496000,rnn
77.41500091552734,40.84700012207031,512000,rnn
79.35700225830078,40.79899978637695,528000,rnn
79.1780014038086,40.06999969482422,544000,rnn
77.3479995727539,41.189998626708984,560000,rnn
79.59500122070312,41.52000045776367,576000,rnn
79.76100158691406,41.96500015258789,592000,rnn
78.4229965209961,41.20500183105469,608000,rnn
76.53399658203125,40.48500061035156,624000,rnn
78.2750015258789,41.597999572753906,640000,rnn
77.80999755859375,40.731998443603516,656000,rnn
78.01100158691406,41.0369987487793,672000,rnn
77.24299621582031,40.88199996948242,688000,rnn
78.12300109863281,40.358001708984375,704000,rnn
77.23899841308594,41.154998779296875,720000,rnn
78.39399719238281,40.2130012512207,736000,rnn
79.23200225830078,40.933998107910156,752000,rnn
76.94599914550781,41.8120002746582,768000,rnn
78.29100036621094,41.9370002746582,784000,rnn
78.01100158691406,41.35499954223633,800000,rnn
77.46800231933594,41.191001892089844,816000,rnn
79.37899780273438,42.104000091552734,832000,rnn
78.24299621582031,41.20500183105469,848000,rnn
78.46700286865234,41.45800018310547,864000,rnn
77.18499755859375,41.43600082397461,880000,rnn
76.77899932861328,41.766998291015625,896000,rnn
79.5530014038086,42.02000045776367,912000,rnn
79.78800201416016,42.85900115966797,928000,rnn
79.43099975585938,42.46900177001953,944000,rnn
77.84400177001953,41.262001037597656,960000,rnn
79.70700073242188,43.45100021362305,976000,rnn
78.21199798583984,40.78900146484375,992000,rnn
79.72000122070312,41.39500045776367,1008000,rnn
80.56500244140625,41.79999923706055,1024000,rnn
79.33100128173828,42.47600173950195,1040000,rnn
81.18800354003906,42.25400161743164,1056000,rnn
80.04499816894531,42.47700119018555,1072000,rnn
81.81999969482422,42.893001556396484,1088000,rnn
81.31099700927734,42.5099983215332,1104000,rnn
80.69100189208984,42.54600143432617,1120000,rnn
80.88099670410156,42.2239990234375,1136000,rnn
81.2770004272461,42.902000427246094,1152000,rnn
80.86199951171875,42.09700012207031,1168000,rnn
79.62300109863281,41.59199905395508,1184000,rnn
80.11399841308594,41.60100173950195,1200000,rnn
80.51000213623047,42.70600128173828,1216000,rnn
79.99700164794922,42.40399932861328,1232000,rnn
80.25399780273438,42.58399963378906,1248000,rnn
79.59300231933594,42.39099884033203,1264000,rnn
78.302001953125,41.90800094604492,1280000,rnn
79.81600189208984,41.54899978637695,1296000,rnn
81.23799896240234,42.516998291015625,1312000,rnn
81.48500061035156,43.79499816894531,1328000,rnn
81.1240005493164,42.52299880981445,1344000,rnn
81.18299865722656,43.34600067138672,1360000,rnn
79.08799743652344,42.88100051879883,1376000,rnn
78.58999633789062,42.275001525878906,1392000,rnn
78.26399993896484,41.54899978637695,1408000,rnn
79.68800354003906,43.34299850463867,1424000,rnn
82.17900085449219,42.624000549316406,1440000,rnn
79.3479995727539,43.38100051879883,1456000,rnn
78.85700225830078,42.97800064086914,1472000,rnn
78.99400329589844,42.57899856567383,1488000,rnn
80.76499938964844,43.207000732421875,1504000,rnn
79.94000244140625,42.22100067138672,1520000,rnn
79.75700378417969,42.05500030517578,1536000,rnn
81.41999816894531,43.196998596191406,1552000,rnn
80.31800079345703,42.37900161743164,1568000,rnn
81.14299774169922,43.1609992980957,1584000,rnn
81.08999633789062,42.624000549316406,1600000,rnn
80.73899841308594,42.94300079345703,1616000,rnn
81.28900146484375,42.46200180053711,1632000,rnn
80.6709976196289,42.58399963378906,1648000,rnn
80.52100372314453,42.47800064086914,1664000,rnn
81.01499938964844,42.53099822998047,1680000,rnn
81.16000366210938,43.17399978637695,1696000,rnn
81.68800354003906,43.35100173950195,1712000,rnn
79.77799987792969,42.816001892089844,1728000,rnn
80.87000274658203,42.47700119018555,1744000,rnn
81.97000122070312,43.66999816894531,1760000,rnn
81.76799774169922,43.577999114990234,1776000,rnn
81.4520034790039,43.10300064086914,1792000,rnn
81.25499725341797,44.042999267578125,1808000,rnn
81.83999633789062,43.11000061035156,1824000,rnn
80.78500366210938,42.14699935913086,1840000,rnn
81.33300018310547,42.09700012207031,1856000,rnn
81.4990005493164,42.167999267578125,1872000,rnn
82.25800323486328,43.22200012207031,1888000,rnn
81.68800354003906,42.68199920654297,1904000,rnn
79.70600128173828,42.18000030517578,1920000,rnn
81.33499908447266,42.237998962402344,1936000,rnn
81.97000122070312,43.09299850463867,1952000,rnn
81.32499694824219,42.46900177001953,1968000,rnn
82.01200103759766,43.03300094604492,1984000,rnn
79.04399871826172,42.604000091552734,2000000,rnn
79.85700225830078,42.12300109863281,2016000,rnn
79.77200317382812,42.2869987487793,2032000,rnn
80.44000244140625,42.340999603271484,2048000,rnn
80.71499633789062,42.24399948120117,2064000,rnn
79.8270034790039,41.869998931884766,2080000,rnn
80.35800170898438,41.7599983215332,2096000,rnn
80.41200256347656,42.67499923706055,2112000,rnn
80.5479965209961,42.84299850463867,2128000,rnn
81.62000274658203,42.74599838256836,2144000,rnn
79.70500183105469,42.68899917602539,2160000,rnn
81.29199981689453,42.97100067138672,2176000,rnn
81.5479965209961,43.354000091552734,2192000,rnn
80.81800079345703,42.49100112915039,2208000,rnn
80.7979965209961,43.279998779296875,2224000,rnn
80.93800354003906,41.73699951171875,2240000,rnn
81.63999938964844,43.47600173950195,2256000,rnn
80.96199798583984,42.823001861572266,2272000,rnn
81.34600067138672,42.36199951171875,2288000,rnn
81.65699768066406,43.15700149536133,2304000,rnn
80.6729965209961,42.61000061035156,2320000,rnn
79.71700286865234,42.71799850463867,2336000,rnn
81.2490005493164,42.465999603271484,2352000,rnn
79.96900177001953,42.60599899291992,2368000,rnn
80.93399810791016,42.96900177001953,2384000,rnn
81.28399658203125,43.356998443603516,2400000,rnn
81.96499633789062,42.18600082397461,2416000,rnn
79.7249984741211,42.069000244140625,2432000,rnn
80.23799896240234,42.37300109863281,2448000,rnn
80.58599853515625,41.9119987487793,2464000,rnn
82.11599731445312,42.6870002746582,2480000,rnn
82.15299987792969,43.38399887084961,2496000,rnn
80.53399658203125,42.555999755859375,2512000,rnn
82.12999725341797,44.6150016784668,2528000,rnn
80.80599975585938,43.36899948120117,2544000,rnn
82.83899688720703,43.733001708984375,2560000,rnn
81.78900146484375,42.875999450683594,2576000,rnn
81.10099792480469,43.284000396728516,2592000,rnn
81.25599670410156,42.630001068115234,2608000,rnn
81.4990005493164,42.56700134277344,2624000,rnn
82.08000183105469,42.888999938964844,2640000,rnn
82.16899871826172,43.62699890136719,2656000,rnn
80.41600036621094,42.895999908447266,2672000,rnn
81.98699951171875,43.25400161743164,2688000,rnn
81.03700256347656,42.88199996948242,2704000,rnn
81.28900146484375,42.18600082397461,2720000,rnn
81.27100372314453,42.236000061035156,2736000,rnn
