test/reward_model_bad_vs_random_mean,test/reward_model_good_vs_random_mean,step,arch
79.26300048828125,41.46200180053711,0,rnn
79.28800201416016,42.98899841308594,16000,rnn
77.38099670410156,41.417999267578125,32000,rnn
79.77799987792969,42.35200119018555,48000,rnn
78.76399993896484,41.027000427246094,64000,rnn
79.27400207519531,41.99800109863281,80000,rnn
78.70899963378906,40.60499954223633,96000,rnn
77.28299713134766,40.345001220703125,112000,rnn
77.2490005493164,39.665000915527344,128000,rnn
76.71399688720703,40.948001861572266,144000,rnn
76.77899932861328,38.262001037597656,160000,rnn
76.56999969482422,38.928001403808594,176000,rnn
74.35600280761719,37.86199951171875,192000,rnn
75.71399688720703,38.37900161743164,208000,rnn
74.22899627685547,36.939998626708984,224000,rnn
74.28900146484375,38.224998474121094,240000,rnn
73.63899993896484,37.986000061035156,256000,rnn
74.06600189208984,37.81800079345703,272000,rnn
74.04199981689453,36.53900146484375,288000,rnn
74.63200378417969,37.87799835205078,304000,rnn
72.22899627685547,36.28300094604492,320000,rnn
72.37300109863281,36.448001861572266,336000,rnn
73.17400360107422,35.57099914550781,352000,rnn
73.47100067138672,35.62799835205078,368000,rnn
73.30400085449219,34.99800109863281,384000,rnn
72.33899688720703,35.92100143432617,400000,rnn
71.93199920654297,35.21200180053711,416000,rnn
75.32099914550781,35.29999923706055,432000,rnn
71.21399688720703,35.75199890136719,448000,rnn
73.11799621582031,36.05099868774414,464000,rnn
74.22599792480469,36.986000061035156,480000,rnn
72.11900329589844,36.875999450683594,496000,rnn
74.76399993896484,36.01900100708008,512000,rnn
77.23400115966797,36.48899841308594,528000,rnn
75.33799743652344,35.222999572753906,544000,rnn
75.78399658203125,36.5620002746582,560000,rnn
76.68599700927734,36.275001525878906,576000,rnn
72.48899841308594,35.270999908447266,592000,rnn
72.86000061035156,36.56399917602539,608000,rnn
74.98799896240234,36.816001892089844,624000,rnn
74.09100341796875,35.9900016784668,640000,rnn
76.35600280761719,36.38399887084961,656000,rnn
74.34400177001953,35.98099899291992,672000,rnn
75.33599853515625,36.73099899291992,688000,rnn
73.22699737548828,36.7140007019043,704000,rnn
76.72000122070312,37.2130012512207,720000,rnn
74.48899841308594,38.00299835205078,736000,rnn
73.16899871826172,38.06399917602539,752000,rnn
76.43299865722656,37.060001373291016,768000,rnn
77.41100311279297,38.21799850463867,784000,rnn
76.30999755859375,36.56100082397461,800000,rnn
76.51300048828125,37.20399856567383,816000,rnn
77.24500274658203,37.393001556396484,832000,rnn
76.59100341796875,37.52199935913086,848000,rnn
75.06999969482422,36.946998596191406,864000,rnn
75.34200286865234,37.459999084472656,880000,rnn
76.177001953125,38.03200149536133,896000,rnn
74.03700256347656,38.23899841308594,912000,rnn
77.19300079345703,38.29600143432617,928000,rnn
77.13600158691406,38.34700012207031,944000,rnn
75.87100219726562,38.41600036621094,960000,rnn
75.14600372314453,37.65299987792969,976000,rnn
74.71199798583984,37.88600158691406,992000,rnn
77.45700073242188,39.58599853515625,1008000,rnn
77.93199920654297,39.98899841308594,1024000,rnn
77.39900207519531,39.202999114990234,1040000,rnn
74.66500091552734,37.659000396728516,1056000,rnn
76.66899871826172,38.93199920654297,1072000,rnn
73.71299743652344,38.319000244140625,1088000,rnn
75.46199798583984,39.07600021362305,1104000,rnn
76.17900085449219,40.512001037597656,1120000,rnn
75.41899871826172,39.29499816894531,1136000,rnn
75.59300231933594,40.617000579833984,1152000,rnn
77.84700012207031,40.736000061035156,1168000,rnn
75.08100128173828,39.99399948120117,1184000,rnn
75.69300079345703,39.777000427246094,1200000,rnn
74.61900329589844,40.159000396728516,1216000,rnn
76.0260009765625,41.130001068115234,1232000,rnn
74.76899719238281,40.224998474121094,1248000,rnn
76.95600128173828,41.42499923706055,1264000,rnn
77.04100036621094,41.0369987487793,1280000,rnn
76.3489990234375,40.180999755859375,1296000,rnn
77.36299896240234,40.40999984741211,1312000,rnn
76.09600067138672,40.18899917602539,1328000,rnn
75.8030014038086,40.10200119018555,1344000,rnn
76.79199981689453,41.58300018310547,1360000,rnn
76.5250015258789,40.75199890136719,1376000,rnn
76.87699890136719,40.5880012512207,1392000,rnn
76.19499969482422,39.83000183105469,1408000,rnn
