test/reward_model_bad_vs_random_mean,test/reward_model_good_vs_random_mean,step,arch
87.05899810791016,50.150001525878906,0,rnn
86.28900146484375,49.99599838256836,16000,rnn
86.39299774169922,51.111000061035156,32000,rnn
86.55000305175781,50.44900131225586,48000,rnn
86.49299621582031,49.87200164794922,64000,rnn
86.7959976196289,50.13399887084961,80000,rnn
87.38200378417969,50.106998443603516,96000,rnn
86.77400207519531,50.279998779296875,112000,rnn
86.63200378417969,50.38600158691406,128000,rnn
86.822998046875,50.020999908447266,144000,rnn
87.03500366210938,50.39799880981445,160000,rnn
86.64600372314453,51.05799865722656,176000,rnn
86.45999908447266,50.42100143432617,192000,rnn
86.44000244140625,49.731998443603516,208000,rnn
86.5479965209961,50.74100112915039,224000,rnn
86.1510009765625,50.78799819946289,240000,rnn
85.85099792480469,50.13999938964844,256000,rnn
86.51000213623047,50.60499954223633,272000,rnn
86.80400085449219,51.78499984741211,288000,rnn
86.9990005493164,50.78200149536133,304000,rnn
86.98200225830078,50.25600051879883,320000,rnn
86.85700225830078,50.60900115966797,336000,rnn
86.74500274658203,50.00199890136719,352000,rnn
85.68000030517578,50.39500045776367,368000,rnn
86.22799682617188,50.27299880981445,384000,rnn
85.98400115966797,50.49300003051758,400000,rnn
86.25199890136719,50.630001068115234,416000,rnn
86.88700103759766,50.5260009765625,432000,rnn
86.2490005493164,50.7140007019043,448000,rnn
86.52799987792969,49.99700164794922,464000,rnn
86.15699768066406,50.34400177001953,480000,rnn
86.54399871826172,50.89799880981445,496000,rnn
86.06600189208984,51.08399963378906,512000,rnn
86.01399993896484,50.707000732421875,528000,rnn
86.06500244140625,50.30099868774414,544000,rnn
86.75700378417969,50.61399841308594,560000,rnn
86.65299987792969,50.36800003051758,576000,rnn
86.13300323486328,50.654998779296875,592000,rnn
86.0479965209961,50.97800064086914,608000,rnn
86.03800201416016,50.763999938964844,624000,rnn
86.0780029296875,50.893001556396484,640000,rnn
86.62000274658203,50.5890007019043,656000,rnn
86.052001953125,51.14500045776367,672000,rnn
85.73600006103516,50.92900085449219,688000,rnn
85.84100341796875,50.979000091552734,704000,rnn
86.14900207519531,51.24300003051758,720000,rnn
86.09300231933594,51.12099838256836,736000,rnn
86.43299865722656,51.00899887084961,752000,rnn
86.03299713134766,50.65599822998047,768000,rnn
86.23100280761719,51.01100158691406,784000,rnn
85.77400207519531,49.569000244140625,800000,rnn
85.80500030517578,49.93199920654297,816000,rnn
85.81600189208984,50.553001403808594,832000,rnn
85.58699798583984,50.92499923706055,848000,rnn
85.54900360107422,50.49100112915039,864000,rnn
85.7979965209961,51.40599822998047,880000,rnn
85.97799682617188,50.95399856567383,896000,rnn
86.22799682617188,51.16600036621094,912000,rnn
85.55400085449219,50.917999267578125,928000,rnn
85.76599884033203,51.12200164794922,944000,rnn
85.88200378417969,50.88100051879883,960000,rnn
86.50700378417969,51.09299850463867,976000,rnn
86.31999969482422,51.152000427246094,992000,rnn
86.67400360107422,51.1609992980957,1008000,rnn
86.61199951171875,51.430999755859375,1024000,rnn
86.10700225830078,51.20399856567383,1040000,rnn
85.83100128173828,51.06999969482422,1056000,rnn
85.89800262451172,50.63800048828125,1072000,rnn
86.18099975585938,50.867000579833984,1088000,rnn
86.00700378417969,50.7859992980957,1104000,rnn
85.98400115966797,51.185001373291016,1120000,rnn
86.29000091552734,50.965999603271484,1136000,rnn
86.0479965209961,50.867000579833984,1152000,rnn
85.6050033569336,50.77000045776367,1168000,rnn
85.98600006103516,50.68600082397461,1184000,rnn
86.18599700927734,50.84400177001953,1200000,rnn
86.26799774169922,51.49700164794922,1216000,rnn
85.90799713134766,50.915000915527344,1232000,rnn
85.97799682617188,50.54800033569336,1248000,rnn
86.1969985961914,50.84199905395508,1264000,rnn
86.6500015258789,51.19499969482422,1280000,rnn
86.30000305175781,50.54899978637695,1296000,rnn
86.5270004272461,50.88999938964844,1312000,rnn
86.5,51.04499816894531,1328000,rnn
86.37999725341797,50.43199920654297,1344000,rnn
86.0199966430664,50.67300033569336,1360000,rnn
85.9260025024414,50.65599822998047,1376000,rnn
85.74400329589844,51.13199996948242,1392000,rnn
86.10700225830078,51.33700180053711,1408000,rnn
86.41799926757812,51.49399948120117,1424000,rnn
86.25499725341797,51.55699920654297,1440000,rnn
86.4020004272461,51.41400146484375,1456000,rnn
86.48200225830078,51.42399978637695,1472000,rnn
86.86900329589844,51.60499954223633,1488000,rnn
86.53600311279297,51.29399871826172,1504000,rnn
86.88999938964844,51.5620002746582,1520000,rnn
86.3499984741211,51.15999984741211,1536000,rnn
86.6780014038086,51.24300003051758,1552000,rnn
86.64399719238281,51.14799880981445,1568000,rnn
86.6989974975586,50.96699905395508,1584000,rnn
86.38899993896484,51.1879997253418,1600000,rnn
86.19599914550781,51.2760009765625,1616000,rnn
86.30799865722656,51.356998443603516,1632000,rnn
86.23500061035156,51.72700119018555,1648000,rnn
86.35600280761719,51.845001220703125,1664000,rnn
86.60399627685547,51.86399841308594,1680000,rnn
86.53299713134766,51.72700119018555,1696000,rnn
86.5979995727539,51.52799987792969,1712000,rnn
86.6719970703125,51.422000885009766,1728000,rnn
86.25,51.1349983215332,1744000,rnn
86.60199737548828,50.935001373291016,1760000,rnn
86.45500183105469,51.07400131225586,1776000,rnn
86.31600189208984,51.28799819946289,1792000,rnn
86.43599700927734,51.38399887084961,1808000,rnn
86.4229965209961,51.229000091552734,1824000,rnn
86.33799743652344,51.1349983215332,1840000,rnn
86.38700103759766,51.382999420166016,1856000,rnn
86.29199981689453,51.345001220703125,1872000,rnn
86.03500366210938,51.30799865722656,1888000,rnn
86.21399688720703,51.49700164794922,1904000,rnn
86.09500122070312,51.47200012207031,1920000,rnn
86.21900177001953,51.38600158691406,1936000,rnn
86.02100372314453,51.58700180053711,1952000,rnn
86.072998046875,51.62799835205078,1968000,rnn
86.01100158691406,51.5,1984000,rnn
86.03900146484375,51.52899932861328,2000000,rnn
