test/reward_model_bad_vs_random_mean,test/reward_model_good_vs_random_mean,step,arch
89.0250015258789,49.452999114990234,0,rnn
89.45999908447266,48.89699935913086,16000,rnn
90.05400085449219,49.229000091552734,32000,rnn
89.39700317382812,48.94300079345703,48000,rnn
89.8010025024414,49.1870002746582,64000,rnn
88.44599914550781,49.23500061035156,80000,rnn
89.53399658203125,49.54100036621094,96000,rnn
89.28399658203125,48.88100051879883,112000,rnn
89.73500061035156,49.37799835205078,128000,rnn
89.19200134277344,49.369998931884766,144000,rnn
89.40399932861328,49.48099899291992,160000,rnn
89.26200103759766,49.57699966430664,176000,rnn
89.70700073242188,49.534000396728516,192000,rnn
89.62899780273438,49.391998291015625,208000,rnn
89.99400329589844,49.89400100708008,224000,rnn
89.93599700927734,49.99599838256836,240000,rnn
89.71499633789062,49.83700180053711,256000,rnn
89.12300109863281,49.45000076293945,272000,rnn
89.13800048828125,49.404998779296875,288000,rnn
89.38700103759766,49.89099884033203,304000,rnn
89.0790023803711,49.26900100708008,320000,rnn
89.40899658203125,49.7599983215332,336000,rnn
89.43399810791016,49.12099838256836,352000,rnn
89.65599822998047,49.12200164794922,368000,rnn
89.5999984741211,49.55099868774414,384000,rnn
89.3010025024414,49.26499938964844,400000,rnn
89.0989990234375,49.483001708984375,416000,rnn
89.01100158691406,48.784000396728516,432000,rnn
89.68099975585938,49.30099868774414,448000,rnn
89.08100128173828,49.32500076293945,464000,rnn
89.27200317382812,49.290000915527344,480000,rnn
89.15499877929688,49.2239990234375,496000,rnn
88.9469985961914,49.34299850463867,512000,rnn
89.31900024414062,49.327999114990234,528000,rnn
88.9020004272461,49.512001037597656,544000,rnn
89.5009994506836,48.974998474121094,560000,rnn
88.96700286865234,48.76100158691406,576000,rnn
89.47799682617188,48.680999755859375,592000,rnn
89.67500305175781,49.60900115966797,608000,rnn
89.7969970703125,49.24300003051758,624000,rnn
90.05500030517578,49.4010009765625,640000,rnn
90.07599639892578,49.67499923706055,656000,rnn
89.71299743652344,49.00899887084961,672000,rnn
90.34700012207031,49.720001220703125,688000,rnn
89.61000061035156,49.35499954223633,704000,rnn
89.322998046875,49.75699996948242,720000,rnn
89.61499786376953,49.21200180053711,736000,rnn
89.56400299072266,49.529998779296875,752000,rnn
90.18399810791016,49.61000061035156,768000,rnn
89.5,49.66899871826172,784000,rnn
89.80599975585938,49.4900016784668,800000,rnn
90.00800323486328,49.82699966430664,816000,rnn
90.0530014038086,49.83000183105469,832000,rnn
90.10600280761719,49.78300094604492,848000,rnn
90.20700073242188,50.07600021362305,864000,rnn
89.69499969482422,49.922000885009766,880000,rnn
89.24700164794922,49.69499969482422,896000,rnn
89.76799774169922,49.775001525878906,912000,rnn
89.63700103759766,49.731998443603516,928000,rnn
89.83899688720703,49.28799819946289,944000,rnn
90.25800323486328,49.74300003051758,960000,rnn
89.94400024414062,49.63800048828125,976000,rnn
89.89700317382812,49.8129997253418,992000,rnn
89.51399993896484,49.15700149536133,1008000,rnn
90.11900329589844,49.433998107910156,1024000,rnn
90.46600341796875,49.33300018310547,1040000,rnn
90.33599853515625,49.64099884033203,1056000,rnn
90.78700256347656,49.617000579833984,1072000,rnn
90.29000091552734,49.446998596191406,1088000,rnn
90.13200378417969,49.327999114990234,1104000,rnn
90.25399780273438,48.933998107910156,1120000,rnn
89.94400024414062,49.071998596191406,1136000,rnn
89.71600341796875,49.33399963378906,1152000,rnn
90.40499877929688,49.20000076293945,1168000,rnn
89.53900146484375,49.106998443603516,1184000,rnn
89.76200103759766,49.29899978637695,1200000,rnn
89.78500366210938,49.770999908447266,1216000,rnn
89.66100311279297,49.83599853515625,1232000,rnn
89.41100311279297,49.63100051879883,1248000,rnn
89.4530029296875,49.35300064086914,1264000,rnn
89.8219985961914,49.66600036621094,1280000,rnn
88.95800018310547,49.68000030517578,1296000,rnn
89.38200378417969,49.650001525878906,1312000,rnn
89.51300048828125,50.00299835205078,1328000,rnn
89.55999755859375,49.86399841308594,1344000,rnn
89.46900177001953,49.70100021362305,1360000,rnn
89.42500305175781,49.665000915527344,1376000,rnn
89.80400085449219,49.43199920654297,1392000,rnn
90.07499694824219,49.94499969482422,1408000,rnn
89.89800262451172,49.77899932861328,1424000,rnn
89.99400329589844,49.507999420166016,1440000,rnn
89.76899719238281,49.64500045776367,1456000,rnn
89.76300048828125,49.40999984741211,1472000,rnn
89.93699645996094,49.78799819946289,1488000,rnn
89.91799926757812,49.64400100708008,1504000,rnn
89.90699768066406,49.78099822998047,1520000,rnn
90.10399627685547,49.992000579833984,1536000,rnn
90.02799987792969,49.672000885009766,1552000,rnn
89.6780014038086,50.07699966430664,1568000,rnn
