test/reward_model_bad_vs_random_mean,test/reward_model_good_vs_random_mean,step,arch
85.91200256347656,45.37200164794922,0,rnn
85.90899658203125,45.29600143432617,16000,rnn
85.30899810791016,45.47600173950195,32000,rnn
86.21199798583984,45.527000427246094,48000,rnn
86.20099639892578,46.016998291015625,64000,rnn
85.77799987792969,45.875999450683594,80000,rnn
85.87100219726562,45.5099983215332,96000,rnn
85.802001953125,45.82600021362305,112000,rnn
86.15899658203125,45.270999908447266,128000,rnn
86.9469985961914,45.64799880981445,144000,rnn
87.16799926757812,45.888999938964844,160000,rnn
86.00700378417969,45.00699996948242,176000,rnn
86.1780014038086,45.237998962402344,192000,rnn
85.93199920654297,45.316001892089844,208000,rnn
86.06800079345703,45.20800018310547,224000,rnn
85.51000213623047,45.67599868774414,240000,rnn
85.56099700927734,45.500999450683594,256000,rnn
86.14700317382812,45.2140007019043,272000,rnn
85.26200103759766,45.74399948120117,288000,rnn
86.07599639892578,45.375999450683594,304000,rnn
86.12300109863281,45.90399932861328,320000,rnn
85.69599914550781,45.77000045776367,336000,rnn
85.86900329589844,45.65299987792969,352000,rnn
85.77999877929688,45.909000396728516,368000,rnn
85.62000274658203,45.12200164794922,384000,rnn
86.91100311279297,45.720001220703125,400000,rnn
85.91999816894531,46.236000061035156,416000,rnn
85.78800201416016,45.856998443603516,432000,rnn
85.40699768066406,45.599998474121094,448000,rnn
85.35600280761719,45.3650016784668,464000,rnn
85.37699890136719,45.29999923706055,480000,rnn
85.33799743652344,45.41699981689453,496000,rnn
85.35800170898438,44.724998474121094,512000,rnn
85.61699676513672,44.49399948120117,528000,rnn
86.56199645996094,45.4379997253418,544000,rnn
86.447998046875,44.85599899291992,560000,rnn
86.61000061035156,44.446998596191406,576000,rnn
86.11900329589844,45.349998474121094,592000,rnn
86.18099975585938,45.49599838256836,608000,rnn
87.52999877929688,46.222999572753906,624000,rnn
87.31700134277344,45.88399887084961,640000,rnn
86.88700103759766,45.72800064086914,656000,rnn
87.08899688720703,45.93299865722656,672000,rnn
86.80999755859375,45.74300003051758,688000,rnn
86.77799987792969,45.854000091552734,704000,rnn
87.2750015258789,45.65999984741211,720000,rnn
86.94300079345703,46.17399978637695,736000,rnn
86.14199829101562,45.5629997253418,752000,rnn
86.50399780273438,46.803001403808594,768000,rnn
86.88400268554688,46.51499938964844,784000,rnn
87.48300170898438,46.224998474121094,800000,rnn
86.23699951171875,46.10100173950195,816000,rnn
87.0719985961914,46.595001220703125,832000,rnn
86.52400207519531,45.95199966430664,848000,rnn
86.70700073242188,45.90399932861328,864000,rnn
87.66200256347656,46.63999938964844,880000,rnn
86.98899841308594,45.775001525878906,896000,rnn
87.05999755859375,46.27799987792969,912000,rnn
87.19100189208984,46.75600051879883,928000,rnn
86.86399841308594,47.178001403808594,944000,rnn
86.88500213623047,47.38999938964844,960000,rnn
86.34100341796875,46.88800048828125,976000,rnn
87.0770034790039,46.92499923706055,992000,rnn
87.48400115966797,46.40399932861328,1008000,rnn
86.63500213623047,46.91899871826172,1024000,rnn
86.75800323486328,46.9370002746582,1040000,rnn
87.14600372314453,46.38800048828125,1056000,rnn
86.29199981689453,46.43600082397461,1072000,rnn
86.60700225830078,47.10200119018555,1088000,rnn
86.55599975585938,47.34199905395508,1104000,rnn
87.28800201416016,46.00699996948242,1120000,rnn
87.10800170898438,46.66699981689453,1136000,rnn
86.68199920654297,46.92499923706055,1152000,rnn
86.76599884033203,46.47800064086914,1168000,rnn
86.73600006103516,46.2859992980957,1184000,rnn
86.74400329589844,46.89500045776367,1200000,rnn
87.23999786376953,46.17100143432617,1216000,rnn
87.93099975585938,47.42900085449219,1232000,rnn
87.06199645996094,47.025001525878906,1248000,rnn
86.75700378417969,46.569000244140625,1264000,rnn
86.56099700927734,46.12699890136719,1280000,rnn
87.12799835205078,46.270999908447266,1296000,rnn
86.43299865722656,46.542999267578125,1312000,rnn
86.9010009765625,46.19900131225586,1328000,rnn
86.83300018310547,46.08399963378906,1344000,rnn
86.96099853515625,46.02000045776367,1360000,rnn
