test/reward_model_bad_vs_random_mean,test/reward_model_good_vs_random_mean,step,arch
78.00700378417969,42.505001068115234,0,rnn
77.66300201416016,42.29899978637695,16000,rnn
78.22200012207031,43.17499923706055,32000,rnn
77.70099639892578,42.770999908447266,48000,rnn
79.2770004272461,43.15299987792969,64000,rnn
81.88500213623047,41.8650016784668,80000,rnn
80.27999877929688,41.404998779296875,96000,rnn
81.6969985961914,41.75899887084961,112000,rnn
82.10700225830078,42.33700180053711,128000,rnn
80.89900207519531,40.69499969482422,144000,rnn
80.98300170898438,40.91600036621094,160000,rnn
80.6989974975586,40.189998626708984,176000,rnn
81.87000274658203,41.01599884033203,192000,rnn
81.48400115966797,41.457000732421875,208000,rnn
82.13600158691406,41.89500045776367,224000,rnn
80.70600128173828,39.44200134277344,240000,rnn
81.8489990234375,40.99100112915039,256000,rnn
81.73500061035156,40.5620002746582,272000,rnn
80.6050033569336,39.90599822998047,288000,rnn
80.01499938964844,41.430999755859375,304000,rnn
79.77799987792969,40.854000091552734,320000,rnn
80.28099822998047,39.404998779296875,336000,rnn
80.60600280761719,39.72200012207031,352000,rnn
80.44999694824219,40.492000579833984,368000,rnn
80.97599792480469,39.56700134277344,384000,rnn
80.3010025024414,40.999000549316406,400000,rnn
79.84400177001953,40.590999603271484,416000,rnn
80.36599731445312,39.67900085449219,432000,rnn
79.71499633789062,40.01900100708008,448000,rnn
79.66000366210938,40.51900100708008,464000,rnn
80.73999786376953,40.06399917602539,480000,rnn
80.6780014038086,40.222999572753906,496000,rnn
82.46299743652344,40.354000091552734,512000,rnn
81.50800323486328,39.99700164794922,528000,rnn
80.68099975585938,40.518001556396484,544000,rnn
80.2969970703125,39.534000396728516,560000,rnn
80.77400207519531,40.10900115966797,576000,rnn
80.08399963378906,41.4010009765625,592000,rnn
81.45600128173828,40.95899963378906,608000,rnn
80.96199798583984,41.165000915527344,624000,rnn
81.95600128173828,42.02799987792969,640000,rnn
81.34500122070312,41.28200149536133,656000,rnn
82.26499938964844,41.55699920654297,672000,rnn
82.84600067138672,41.32699966430664,688000,rnn
79.572998046875,40.415000915527344,704000,rnn
82.29100036621094,41.314998626708984,720000,rnn
82.16400146484375,40.972999572753906,736000,rnn
82.39700317382812,40.779998779296875,752000,rnn
81.99600219726562,40.34299850463867,768000,rnn
80.85900115966797,40.60499954223633,784000,rnn
81.91300201416016,40.82699966430664,800000,rnn
82.23200225830078,41.025001525878906,816000,rnn
82.56999969482422,40.76300048828125,832000,rnn
