test/reward_model_bad_vs_random_mean,test/reward_model_good_vs_random_mean,step,arch
78.08699798583984,41.69499969482422,0,rnn
78.71399688720703,42.23500061035156,16000,rnn
77.66400146484375,42.20500183105469,32000,rnn
78.60600280761719,42.44499969482422,48000,rnn
79.29100036621094,42.104000091552734,64000,rnn
79.98899841308594,40.999000549316406,80000,rnn
80.2699966430664,42.082000732421875,96000,rnn
79.99099731445312,42.57500076293945,112000,rnn
78.7229995727539,42.12099838256836,128000,rnn
78.48300170898438,41.04899978637695,144000,rnn
80.0270004272461,42.0989990234375,160000,rnn
80.52799987792969,40.68600082397461,176000,rnn
79.61799621582031,40.89500045776367,192000,rnn
79.75800323486328,41.58100128173828,208000,rnn
79.19599914550781,40.652000427246094,224000,rnn
79.41899871826172,41.7140007019043,240000,rnn
80.81199645996094,42.22100067138672,256000,rnn
80.39299774169922,42.51599884033203,272000,rnn
79.23999786376953,41.16899871826172,288000,rnn
80.93199920654297,42.5880012512207,304000,rnn
81.30000305175781,42.59299850463867,320000,rnn
81.0009994506836,41.854000091552734,336000,rnn
81.77899932861328,42.73500061035156,352000,rnn
80.94599914550781,41.70000076293945,368000,rnn
78.33499908447266,42.19900131225586,384000,rnn
78.71399688720703,42.277000427246094,400000,rnn
77.38200378417969,41.388999938964844,416000,rnn
77.697998046875,41.051998138427734,432000,rnn
78.26499938964844,40.85900115966797,448000,rnn
78.2959976196289,41.150001525878906,464000,rnn
79.10700225830078,40.47999954223633,480000,rnn
80.22799682617188,41.6150016784668,496000,rnn
80.31099700927734,41.779998779296875,512000,rnn
79.94400024414062,40.08599853515625,528000,rnn
79.09700012207031,40.62900161743164,544000,rnn
79.93399810791016,40.39500045776367,560000,rnn
78.302001953125,40.49399948120117,576000,rnn
79.52100372314453,40.09000015258789,592000,rnn
79.71800231933594,42.08700180053711,608000,rnn
79.81300354003906,41.724998474121094,624000,rnn
77.9520034790039,40.49700164794922,640000,rnn
79.89700317382812,41.50199890136719,656000,rnn
79.16400146484375,41.03900146484375,672000,rnn
78.32499694824219,40.54800033569336,688000,rnn
78.68599700927734,40.555999755859375,704000,rnn
78.81199645996094,40.064998626708984,720000,rnn
79.51899719238281,40.68000030517578,736000,rnn
79.40499877929688,41.00199890136719,752000,rnn
80.28800201416016,40.95800018310547,768000,rnn
80.48899841308594,41.43199920654297,784000,rnn
80.47799682617188,42.33300018310547,800000,rnn
78.90399932861328,41.15599822998047,816000,rnn
79.3550033569336,41.500999450683594,832000,rnn
80.00199890136719,41.48500061035156,848000,rnn
80.8479995727539,41.500999450683594,864000,rnn
81.62300109863281,40.61000061035156,880000,rnn
81.91200256347656,41.20399856567383,896000,rnn
81.12100219726562,40.6609992980957,912000,rnn
80.85900115966797,40.70100021362305,928000,rnn
81.30699920654297,40.56800079345703,944000,rnn
81.50399780273438,40.486000061035156,960000,rnn
81.35700225830078,42.465999603271484,976000,rnn
80.85900115966797,41.654998779296875,992000,rnn
82.43099975585938,40.58399963378906,1008000,rnn
80.83499908447266,41.672000885009766,1024000,rnn
81.88500213623047,41.21099853515625,1040000,rnn
80.50599670410156,40.959999084472656,1056000,rnn
81.58599853515625,41.49800109863281,1072000,rnn
80.74700164794922,41.547000885009766,1088000,rnn
80.97899627685547,41.417999267578125,1104000,rnn
80.1969985961914,41.39099884033203,1120000,rnn
80.322998046875,41.26499938964844,1136000,rnn
80.59300231933594,41.22100067138672,1152000,rnn
80.1050033569336,41.78799819946289,1168000,rnn
80.7249984741211,41.45899963378906,1184000,rnn
81.30899810791016,42.520999908447266,1200000,rnn
82.20800018310547,42.611000061035156,1216000,rnn
80.83300018310547,41.566001892089844,1232000,rnn
81.19200134277344,41.8380012512207,1248000,rnn
80.56700134277344,41.229000091552734,1264000,rnn
81.17900085449219,41.54600143432617,1280000,rnn
82.14199829101562,41.17900085449219,1296000,rnn
81.21199798583984,40.99599838256836,1312000,rnn
81.5770034790039,42.13600158691406,1328000,rnn
81.76200103759766,41.415000915527344,1344000,rnn
80.7490005493164,41.99300003051758,1360000,rnn
82.625,41.78200149536133,1376000,rnn
80.73799896240234,41.06700134277344,1392000,rnn
82.46800231933594,42.016998291015625,1408000,rnn
81.68900299072266,41.15700149536133,1424000,rnn
82.51599884033203,41.4379997253418,1440000,rnn
80.93699645996094,42.09400177001953,1456000,rnn
82.38099670410156,42.65999984741211,1472000,rnn
81.697998046875,41.84600067138672,1488000,rnn
82.33999633789062,41.89099884033203,1504000,rnn
83.12300109863281,41.78499984741211,1520000,rnn
82.12000274658203,40.96900177001953,1536000,rnn
82.09400177001953,41.882999420166016,1552000,rnn
82.40599822998047,41.582000732421875,1568000,rnn
82.27100372314453,41.645999908447266,1584000,rnn
83.31900024414062,41.051998138427734,1600000,rnn
82.88300323486328,41.45399856567383,1616000,rnn
82.51599884033203,41.49100112915039,1632000,rnn
82.82499694824219,41.62099838256836,1648000,rnn
82.62000274658203,43.284000396728516,1664000,rnn
83.19599914550781,41.972999572753906,1680000,rnn
83.3479995727539,42.292999267578125,1696000,rnn
82.16000366210938,42.95100021362305,1712000,rnn
82.57499694824219,42.512001037597656,1728000,rnn
82.52400207519531,42.108001708984375,1744000,rnn
82.0979995727539,42.854000091552734,1760000,rnn
81.84100341796875,43.33599853515625,1776000,rnn
82.51799774169922,42.96699905395508,1792000,rnn
81.75700378417969,43.637001037597656,1808000,rnn
80.88700103759766,43.084999084472656,1824000,rnn
81.9010009765625,43.957000732421875,1840000,rnn
82.03099822998047,43.775001525878906,1856000,rnn
82.62899780273438,44.14799880981445,1872000,rnn
82.45700073242188,43.66899871826172,1888000,rnn
82.77799987792969,43.82699966430664,1904000,rnn
83.34700012207031,43.8120002746582,1920000,rnn
82.94000244140625,43.48899841308594,1936000,rnn
81.7699966430664,43.30699920654297,1952000,rnn
81.87200164794922,43.757999420166016,1968000,rnn
81.55500030517578,43.9109992980957,1984000,rnn
80.38300323486328,43.56100082397461,2000000,rnn
80.73799896240234,43.17399978637695,2016000,rnn
80.8550033569336,44.07400131225586,2032000,rnn
81.26399993896484,42.58100128173828,2048000,rnn
81.69599914550781,42.77399826049805,2064000,rnn
81.19000244140625,42.75600051879883,2080000,rnn
81.0780029296875,42.994998931884766,2096000,rnn
82.14299774169922,43.35300064086914,2112000,rnn
82.427001953125,42.665000915527344,2128000,rnn
82.23200225830078,43.17100143432617,2144000,rnn
83.34200286865234,42.551998138427734,2160000,rnn
82.86100006103516,42.37300109863281,2176000,rnn
83.00199890136719,43.520999908447266,2192000,rnn
81.98899841308594,42.85300064086914,2208000,rnn
82.04199981689453,43.24300003051758,2224000,rnn
82.53500366210938,43.02899932861328,2240000,rnn
81.93599700927734,43.8390007019043,2256000,rnn
83.11699676513672,42.83000183105469,2272000,rnn
82.63899993896484,42.61000061035156,2288000,rnn
82.3280029296875,42.599998474121094,2304000,rnn
82.6449966430664,42.4010009765625,2320000,rnn
81.88400268554688,42.35200119018555,2336000,rnn
82.18900299072266,42.34299850463867,2352000,rnn
81.93099975585938,42.303001403808594,2368000,rnn
83.19300079345703,42.90399932861328,2384000,rnn
83.24400329589844,42.3120002746582,2400000,rnn
82.53399658203125,43.47999954223633,2416000,rnn
81.93299865722656,43.05500030517578,2432000,rnn
82.68900299072266,42.31700134277344,2448000,rnn
82.06800079345703,43.3489990234375,2464000,rnn
84.00700378417969,43.25899887084961,2480000,rnn
83.11000061035156,43.180999755859375,2496000,rnn
83.68000030517578,43.470001220703125,2512000,rnn
83.48999786376953,43.79199981689453,2528000,rnn
85.38899993896484,44.518001556396484,2544000,rnn
85.05500030517578,43.38100051879883,2560000,rnn
84.27200317382812,43.38999938964844,2576000,rnn
84.84700012207031,43.39500045776367,2592000,rnn
84.58399963378906,43.63399887084961,2608000,rnn
83.5999984741211,43.4109992980957,2624000,rnn
81.69200134277344,43.61399841308594,2640000,rnn
82.48300170898438,43.21900177001953,2656000,rnn
82.30999755859375,43.08100128173828,2672000,rnn
82.51100158691406,43.05099868774414,2688000,rnn
82.22000122070312,43.42300033569336,2704000,rnn
82.36399841308594,44.05400085449219,2720000,rnn
82.72000122070312,44.486000061035156,2736000,rnn
83.3030014038086,44.18600082397461,2752000,rnn
83.78199768066406,44.22999954223633,2768000,rnn
83.21800231933594,43.678001403808594,2784000,rnn
82.99099731445312,42.935001373291016,2800000,rnn
82.88999938964844,42.849998474121094,2816000,rnn
83.73400115966797,42.763999938964844,2832000,rnn
83.36900329589844,42.737998962402344,2848000,rnn
83.34400177001953,43.41699981689453,2864000,rnn
82.91200256347656,43.12200164794922,2880000,rnn
84.29199981689453,43.68899917602539,2896000,rnn
84.81900024414062,43.46699905395508,2912000,rnn
85.30599975585938,43.75299835205078,2928000,rnn
83.46199798583984,43.388999938964844,2944000,rnn
84.22000122070312,44.229000091552734,2960000,rnn
84.3949966430664,43.98500061035156,2976000,rnn
84.42400360107422,44.178001403808594,2992000,rnn
84.822998046875,43.68899917602539,3008000,rnn
83.98300170898438,43.27399826049805,3024000,rnn
84.40499877929688,43.577999114990234,3040000,rnn
85.19599914550781,44.23899841308594,3056000,rnn
84.58999633789062,43.900001525878906,3072000,rnn
84.84600067138672,44.1510009765625,3088000,rnn
84.95500183105469,44.21900177001953,3104000,rnn
84.94400024414062,44.47100067138672,3120000,rnn
84.68800354003906,44.0359992980957,3136000,rnn
84.93599700927734,44.09600067138672,3152000,rnn
84.51799774169922,44.41299819946289,3168000,rnn
84.97599792480469,44.59700012207031,3184000,rnn
84.97100067138672,45.03499984741211,3200000,rnn
84.81999969482422,44.97600173950195,3216000,rnn
83.69100189208984,44.50699996948242,3232000,rnn
84.4260025024414,44.83599853515625,3248000,rnn
83.20999908447266,44.869998931884766,3264000,rnn
83.43499755859375,44.12699890136719,3280000,rnn
83.23500061035156,43.61399841308594,3296000,rnn
84.45800018310547,44.32899856567383,3312000,rnn
83.61900329589844,43.98500061035156,3328000,rnn
83.83300018310547,44.323001861572266,3344000,rnn
83.99199676513672,44.14500045776367,3360000,rnn
83.41400146484375,44.733001708984375,3376000,rnn
84.1050033569336,44.2599983215332,3392000,rnn
84.76100158691406,45.404998779296875,3408000,rnn
85.22699737548828,45.11000061035156,3424000,rnn
85.69400024414062,44.8380012512207,3440000,rnn
85.46199798583984,44.724998474121094,3456000,rnn
85.8270034790039,45.33399963378906,3472000,rnn
85.66899871826172,45.13199996948242,3488000,rnn
85.572998046875,45.30400085449219,3504000,rnn
85.13400268554688,45.518001556396484,3520000,rnn
86.54299926757812,45.472999572753906,3536000,rnn
85.63400268554688,44.448001861572266,3552000,rnn
85.8489990234375,45.698001861572266,3568000,rnn
85.94999694824219,45.3390007019043,3584000,rnn
86.01699829101562,45.082000732421875,3600000,rnn
85.56400299072266,44.654998779296875,3616000,rnn
85.11399841308594,44.76900100708008,3632000,rnn
85.01599884033203,44.560001373291016,3648000,rnn
84.81700134277344,45.01599884033203,3664000,rnn
84.79000091552734,44.72600173950195,3680000,rnn
85.7509994506836,46.3120002746582,3696000,rnn
84.92400360107422,45.86800003051758,3712000,rnn
85.68499755859375,45.81100082397461,3728000,rnn
85.51000213623047,45.44599914550781,3744000,rnn
86.45600128173828,46.03499984741211,3760000,rnn
85.53800201416016,45.827999114990234,3776000,rnn
86.33899688720703,45.81100082397461,3792000,rnn
86.19100189208984,45.29199981689453,3808000,rnn
86.10299682617188,45.11399841308594,3824000,rnn
85.29199981689453,45.143001556396484,3840000,rnn
85.0999984741211,44.81100082397461,3856000,rnn
85.82599639892578,45.72600173950195,3872000,rnn
86.03800201416016,45.93299865722656,3888000,rnn
86.97599792480469,46.14400100708008,3904000,rnn
87.44000244140625,46.58399963378906,3920000,rnn
85.64800262451172,46.7760009765625,3936000,rnn
86.62000274658203,46.03300094604492,3952000,rnn
86.3759994506836,46.45100021362305,3968000,rnn
86.18000030517578,46.321998596191406,3984000,rnn
86.41200256347656,46.03300094604492,4000000,rnn
86.83599853515625,46.9640007019043,4016000,rnn
86.00299835205078,46.345001220703125,4032000,rnn
86.14600372314453,45.917999267578125,4048000,rnn
86.54199981689453,46.5260009765625,4064000,rnn
86.54199981689453,46.63999938964844,4080000,rnn
85.91699981689453,46.07899856567383,4096000,rnn
85.052001953125,46.4900016784668,4112000,rnn
86.04499816894531,46.334999084472656,4128000,rnn
84.8740005493164,46.66699981689453,4144000,rnn
85.62000274658203,46.233001708984375,4160000,rnn
86.27999877929688,46.479000091552734,4176000,rnn
86.20099639892578,46.35200119018555,4192000,rnn
85.92500305175781,46.79600143432617,4208000,rnn
85.9990005493164,46.20000076293945,4224000,rnn
86.58200073242188,47.150001525878906,4240000,rnn
87.08300018310547,46.32400131225586,4256000,rnn
86.71299743652344,46.5260009765625,4272000,rnn
85.66200256347656,46.6510009765625,4288000,rnn
85.59400177001953,46.159000396728516,4304000,rnn
85.66600036621094,46.257999420166016,4320000,rnn
86.10600280761719,46.3390007019043,4336000,rnn
87.71600341796875,46.590999603271484,4352000,rnn
86.76200103759766,46.507999420166016,4368000,rnn
86.11399841308594,45.54899978637695,4384000,rnn
85.81600189208984,46.86199951171875,4400000,rnn
84.94100189208984,46.14099884033203,4416000,rnn
85.44999694824219,46.277000427246094,4432000,rnn
85.43699645996094,46.034000396728516,4448000,rnn
86.03199768066406,46.435001373291016,4464000,rnn
86.13099670410156,46.29100036621094,4480000,rnn
86.11699676513672,46.207000732421875,4496000,rnn
86.20800018310547,46.06999969482422,4512000,rnn
86.40299987792969,46.4640007019043,4528000,rnn
85.9489974975586,46.79100036621094,4544000,rnn
86.6510009765625,46.92599868774414,4560000,rnn
86.60099792480469,47.04999923706055,4576000,rnn
86.39199829101562,47.09000015258789,4592000,rnn
86.8550033569336,46.409000396728516,4608000,rnn
86.0,46.832000732421875,4624000,rnn
86.15599822998047,46.334999084472656,4640000,rnn
86.43499755859375,45.827999114990234,4656000,rnn
87.48300170898438,46.97200012207031,4672000,rnn
87.34400177001953,46.64899826049805,4688000,rnn
87.36699676513672,46.52899932861328,4704000,rnn
88.05400085449219,46.573001861572266,4720000,rnn
88.18299865722656,46.65599822998047,4736000,rnn
87.28399658203125,46.36000061035156,4752000,rnn
87.51499938964844,46.854000091552734,4768000,rnn
86.81800079345703,46.48500061035156,4784000,rnn
86.6719970703125,46.58399963378906,4800000,rnn
87.70600128173828,46.9630012512207,4816000,rnn
88.3030014038086,47.25299835205078,4832000,rnn
88.01799774169922,46.86600112915039,4848000,rnn
88.00700378417969,47.051998138427734,4864000,rnn
87.54900360107422,47.67300033569336,4880000,rnn
88.04000091552734,47.38999938964844,4896000,rnn
88.40399932861328,47.007999420166016,4912000,rnn
88.50199890136719,47.59199905395508,4928000,rnn
88.82599639892578,47.95100021362305,4944000,rnn
88.74400329589844,47.4109992980957,4960000,rnn
87.64600372314453,47.04800033569336,4976000,rnn
88.6500015258789,47.12099838256836,4992000,rnn
88.58999633789062,47.24399948120117,5008000,rnn
87.85800170898438,46.766998291015625,5024000,rnn
88.36499786376953,47.19300079345703,5040000,rnn
88.1729965209961,47.40299987792969,5056000,rnn
87.8740005493164,48.50699996948242,5072000,rnn
87.93099975585938,48.321998596191406,5088000,rnn
87.69400024414062,47.35200119018555,5104000,rnn
88.5770034790039,47.63399887084961,5120000,rnn
88.33200073242188,47.12200164794922,5136000,rnn
88.48699951171875,47.37099838256836,5152000,rnn
88.52999877929688,48.308998107910156,5168000,rnn
88.19100189208984,46.83599853515625,5184000,rnn
88.36699676513672,47.1349983215332,5200000,rnn
87.8030014038086,47.52199935913086,5216000,rnn
87.48600006103516,46.74300003051758,5232000,rnn
87.72799682617188,46.76300048828125,5248000,rnn
87.45099639892578,47.30799865722656,5264000,rnn
88.42400360107422,47.95500183105469,5280000,rnn
88.11799621582031,47.03099822998047,5296000,rnn
88.23899841308594,46.637001037597656,5312000,rnn
88.52200317382812,47.90299987792969,5328000,rnn
88.69000244140625,47.060001373291016,5344000,rnn
87.97000122070312,47.03799819946289,5360000,rnn
89.2229995727539,47.41999816894531,5376000,rnn
89.41600036621094,47.542999267578125,5392000,rnn
87.99600219726562,47.31399917602539,5408000,rnn
88.13899993896484,47.95399856567383,5424000,rnn
88.28900146484375,47.43199920654297,5440000,rnn
89.41100311279297,47.28900146484375,5456000,rnn
89.49600219726562,47.959999084472656,5472000,rnn
88.35800170898438,48.57500076293945,5488000,rnn
88.79900360107422,48.483001708984375,5504000,rnn
87.83699798583984,48.24300003051758,5520000,rnn
86.88800048828125,48.48699951171875,5536000,rnn
87.88200378417969,47.875999450683594,5552000,rnn
88.0999984741211,47.57600021362305,5568000,rnn
88.40899658203125,47.3849983215332,5584000,rnn
88.67500305175781,48.025001525878906,5600000,rnn
89.10600280761719,47.750999450683594,5616000,rnn
88.572998046875,47.97200012207031,5632000,rnn
88.802001953125,48.215999603271484,5648000,rnn
89.08899688720703,47.83599853515625,5664000,rnn
88.84600067138672,47.784000396728516,5680000,rnn
87.94599914550781,46.80799865722656,5696000,rnn
89.1729965209961,47.05500030517578,5712000,rnn
89.802001953125,47.112998962402344,5728000,rnn
89.32099914550781,47.39699935913086,5744000,rnn
88.302001953125,47.85200119018555,5760000,rnn
