"Step","PPO_bad_multiple_COMS_truth_D__1__1684103936 (Run set) - test/reward_bad_team_mean","PPO_bad_multiple_COMS_truth_D__1__1684103936 (Run set) - test/reward_bad_team_mean__MIN","PPO_bad_multiple_COMS_truth_D__1__1684103936 (Run set) - test/reward_bad_team_mean__MAX","PPO_bad_multiple__1__1683970827 (Run set) - test/reward_bad_team_mean","PPO_bad_multiple__1__1683970827 (Run set) - test/reward_bad_team_mean__MIN","PPO_bad_multiple__1__1683970827 (Run set) - test/reward_bad_team_mean__MAX","PPO_bad_single__1__1683929491 (Run set) - test/reward_bad_team_mean","PPO_bad_single__1__1683929491 (Run set) - test/reward_bad_team_mean__MIN","PPO_bad_single__1__1683929491 (Run set) - test/reward_bad_team_mean__MAX"
"0","79.3550033569336","79.3550033569336","79.3550033569336","77.25","77.25","77.25","77.25","77.25","77.25"
"1000","78.94300079345703","78.94300079345703","78.94300079345703","78.2239990234375","78.2239990234375","78.2239990234375","77.24400329589844","77.24400329589844","77.24400329589844"
"2000","79.06199645996094","79.06199645996094","79.06199645996094","78.3949966430664","78.3949966430664","78.3949966430664","78.88300323486328","78.88300323486328","78.88300323486328"
"3000","78.70600128173828","78.70600128173828","78.70600128173828","78.00599670410156","78.00599670410156","78.00599670410156","77.97799682617188","77.97799682617188","77.97799682617188"
"4000","78.3479995727539","78.3479995727539","78.3479995727539","79.41899871826172","79.41899871826172","79.41899871826172","78.99400329589844","78.99400329589844","78.99400329589844"
"5000","78.38099670410156","78.38099670410156","78.38099670410156","79.69200134277344","79.69200134277344","79.69200134277344","78.7300033569336","78.7300033569336","78.7300033569336"
"6000","80.18699645996094","80.18699645996094","80.18699645996094","79.62799835205078","79.62799835205078","79.62799835205078","78.10199737548828","78.10199737548828","78.10199737548828"
"7000","80.60199737548828","80.60199737548828","80.60199737548828","80.20500183105469","80.20500183105469","80.20500183105469","79.76499938964844","79.76499938964844","79.76499938964844"
"8000","80.39900207519531","80.39900207519531","80.39900207519531","79.89099884033203","79.89099884033203","79.89099884033203","79.4229965209961","79.4229965209961","79.4229965209961"
"9000","80.2490005493164","80.2490005493164","80.2490005493164","79.28099822998047","79.28099822998047","79.28099822998047","79.92400360107422","79.92400360107422","79.92400360107422"
"10000","80.1500015258789","80.1500015258789","80.1500015258789","80.9749984741211","80.9749984741211","80.9749984741211","80.31600189208984","80.31600189208984","80.31600189208984"
"11000","80.37799835205078","80.37799835205078","80.37799835205078","79.58000183105469","79.58000183105469","79.58000183105469","80.072998046875","80.072998046875","80.072998046875"
"12000","79.88600158691406","79.88600158691406","79.88600158691406","81.0999984741211","81.0999984741211","81.0999984741211","81.34600067138672","81.34600067138672","81.34600067138672"
"13000","80.43000030517578","80.43000030517578","80.43000030517578","81.48500061035156","81.48500061035156","81.48500061035156","80.20700073242188","80.20700073242188","80.20700073242188"
"14000","80.0790023803711","80.0790023803711","80.0790023803711","80.66600036621094","80.66600036621094","80.66600036621094","81.00499725341797","81.00499725341797","81.00499725341797"
"15000","80.6050033569336","80.6050033569336","80.6050033569336","81.00599670410156","81.00599670410156","81.00599670410156","80.6259994506836","80.6259994506836","80.6259994506836"
"16000","79.35800170898438","79.35800170898438","79.35800170898438","80.5770034790039","80.5770034790039","80.5770034790039","80.96700286865234","80.96700286865234","80.96700286865234"
"17000","79.85099792480469","79.85099792480469","79.85099792480469","81.6500015258789","81.6500015258789","81.6500015258789","81.01799774169922","81.01799774169922","81.01799774169922"
"18000","79.91500091552734","79.91500091552734","79.91500091552734","81.9260025024414","81.9260025024414","81.9260025024414","81.35299682617188","81.35299682617188","81.35299682617188"
"19000","81.28099822998047","81.28099822998047","81.28099822998047","81.60199737548828","81.60199737548828","81.60199737548828","81.99500274658203","81.99500274658203","81.99500274658203"
"20000","81.21299743652344","81.21299743652344","81.21299743652344","81.58699798583984","81.58699798583984","81.58699798583984","80.76200103759766","80.76200103759766","80.76200103759766"
"21000","80.45800018310547","80.45800018310547","80.45800018310547","80.79199981689453","80.79199981689453","80.79199981689453","81.84100341796875","81.84100341796875","81.84100341796875"
"22000","80.72699737548828","80.72699737548828","80.72699737548828","81.81400299072266","81.81400299072266","81.81400299072266","81.3949966430664","81.3949966430664","81.3949966430664"
"23000","81.73699951171875","81.73699951171875","81.73699951171875","81.56900024414062","81.56900024414062","81.56900024414062","82.6709976196289","82.6709976196289","82.6709976196289"
